category,path,bytes,sha256
provenance_and_paper_support,results/r044_environment_reproducibility_audit/MANIFEST.md,2188,dbfae460a315843823f8da39e40ae38916ea6f4cfc21789732a2672cf7ce4b7d
provenance_and_paper_support,results/r044_environment_reproducibility_audit/PROJECT_ENVIRONMENT_REPRODUCIBILITY_AUDIT.md,5767,61d283987ad2e386dde1059a4b3effe1bc91c430e41a3c841b363258ca24553e
provenance_and_paper_support,results/r044_environment_reproducibility_audit/REPRODUCTION_COMMANDS.md,4909,ae25a39d2aa50803a5dbca400338c519204f4d73711cdb28b641cfd8b3a879e5
provenance_and_paper_support,results/r044_environment_reproducibility_audit/smoke_reacher/robosuite_hil_summary.csv,1207,676b08d61c861ebc97b9ada02f05f6d7fb2f841cfcda478ea52db0cdbc5a10ca
provenance_and_paper_support,results/r044_environment_reproducibility_audit/smoke_reacher/run_Reacher_none_b4000_seed44.csv,309,40db7fe78a2405f899a7b5088c24b45204356979a9d78b1be0fff1a639272325
provenance_and_paper_support,results/r045_tase_reproducibility_alignment/MANIFEST.md,1857,9a2fa894c4f311a0e17c73626079a229abfe4fe12e48207e177a5e32b35d4a9b
provenance_and_paper_support,results/r045_tase_reproducibility_alignment/MANUSCRIPT_ALIGNMENT.md,1656,f70d40c9fbc942a1f53379f09327c66e364c82dd6760f2cf65a136ce017d3478
provenance_and_paper_support,results/r047_evidence_provenance_package/COMPUTE_AND_COMMAND_GAP_ANALYSIS.md,2637,cf1d03a13e19bd22b1147a0ae297eedd716b77822406f23ccd2dfc1489daa76e
provenance_and_paper_support,results/r047_evidence_provenance_package/EVIDENCE_PROVENANCE_AUDIT.md,3673,e3b50385b088da3909f4d484fd5b895bd87390a6a698831e034a4dfaedfef025
provenance_and_paper_support,results/r047_evidence_provenance_package/MANIFEST.md,3108,e161201c3e1f31a78ccab244f283d17074bb34953417a97cf8c9c251ced1f4cc
provenance_and_paper_support,results/r047_evidence_provenance_package/REVIEWER_REPRODUCIBILITY_CHECKLIST.md,1865,2fd1625fc6083f3c800c47ab9b3084782a0133692b6c4422458c299005744578
provenance_and_paper_support,results/r047_evidence_provenance_package/artifact_hashes.csv,9490,d6217689d1d6bb23f83292f562e960c0795bbd7a413e77fdaf039d38217ce7fd
provenance_and_paper_support,results/r047_evidence_provenance_package/available_compute_accounting.csv,15528,53aefb9fcc10c4690a057894e634e597389978028e191e67a678df79251169e2
provenance_and_paper_support,results/r047_evidence_provenance_package/command_provenance_inventory.csv,2779,7f7e885f49bf9ebfc2055aee9755a67690b15b4081923f67e396557d556dc0a8
provenance_and_paper_support,results/r047_evidence_provenance_package/environment_snapshot.json,1158,4b1ce58cc568f69ac8dec0f4f465f4e0553ed2ba0bbd7828276135578224ca25
provenance_and_paper_support,results/r047_evidence_provenance_package/registry_source_inventory.csv,5015,8b5f75089ab39604091de7bc4ff751dc3a73ad970d47f8b18aae4ef1fa6a7c31
r048_machine_provenance,results/r048_version_command_provenance/git_status_diagnostic.json,1220,c63888e4e3fadacc8d2a50985065ce8a116b12f5a53e437fc56d895236e4ab22
r048_machine_provenance,results/r048_version_command_provenance/r020_r021_checkpoint_inventory.csv,15635,0711d9a703c9e7458868cf8f122a1ad41c4f32aa9845be7d5622859314fcd433
r048_machine_provenance,results/r048_version_command_provenance/r020_r021_command_reconstruction.csv,5125,e12d2c4d77defc8805bed112f754548067bd7d4959c7ee1f18ad05dddcf0634d
r048_machine_provenance,results/r048_version_command_provenance/r021_raw_run_inventory.csv,6136,d3c208cf18a85274fdf0de08722412ca3fdbdfb165b890550860957268c5f43b
experiment_scripts,scripts/audit_registry_numbers.py,1143,ee8eaf2ce2dca170e4e86cec17992598614b361133b6577cabb9d0f0a05735df
experiment_scripts,scripts/evaluate_checkpoint.py,3513,195a3a805da3297730c953f736cf8be2c9d39c6a292e6094322cb67fe6e0a7ec
experiment_scripts,scripts/generate_claim_tables.py,1249,c96fd310b211c1ca0a729ab364606e4f0f6d1a6001e79f7c8641b5aac0e026c5
experiment_scripts,scripts/plot_results.py,5765,0845dc5a7e8b24a97ae718b9125a997fe44f311d339ea07bd6b93417de69acfd
experiment_scripts,scripts/run_comparison.py,5370,9fe58eeb58163de53f726f2425dfa1bb802535eb0bfff43ed8a9228d5c562837
experiment_scripts,scripts/run_demo.py,8202,6b7afe872458cb14d4c7db25e110ec3fe0db2111b45311a0ae45d0b4ea6b454c
experiment_scripts,scripts/train_robosuite_hil.py,49403,b0840ff8af18b0a3f93b99022b9490d0a5e2fea310f63b2798d3a62d698ea077
experiment_scripts,scripts/validate_evidence_registry.py,937,be88697cee4c3c419a93e0bff42ee473836bd99321ac636be4923ddbb296d83f
tests,tests/test_checkpoint_reeval.py,1115,dc1096caf6c5e8b86a72f895195e2c961d23e577dbf4edabdb1f4bc33e9248c9
tests,tests/test_claim_tables.py,6245,8f6a32df62ee93bf08ca454157973b569e51b5e0c4808e483e143f96ecb2c798
tests,tests/test_evaluation_protocol.py,2109,6b9bf38d6fff259dfffec41d710064279a99f3b71bdec088cb78ae3631634888
tests,tests/test_experiment_bookkeeping.py,15712,1aad914b3fc0c009c704c0e5aac0be7161c65f75f510df0dbe3411f5ff896c15
tests,tests/test_experiment_bookkeeping_module.py,3138,51278df36332840350915526fa84247baae3f87c3d91367931fb7bf0518ac613
tests,tests/test_experiment_trace_module.py,2056,3250d1aa1a2405f84b87cf382e6b248792e16b8f79d6a79dc707cd9cc5662879
tests,tests/test_metrics_and_intervention.py,9086,6f92e37409add8f519b28026923e47cd7de094c712cedcde8e6256285a53f4eb
tests,tests/test_registry_numeric_audit.py,5588,846e92cba2692a5813824dda8048848917a72cc00fcc9ac05931274fbc1e2f78
tests,tests/test_registry_validation.py,4722,68c44336091cb7e18a4189a7ca8f30c315050ae86a02990ba4e79f4ae9818769
tests,tests/test_robosuite_startup_config.py,1094,68cda4b2b344d9c33f6c3848dbf81596fb76c480f631c13a326e55fe4f62a133
tests,tests/test_robosuite_task_oracle.py,2920,12193450599d4ada40e3cbb7b48a2d466fe910967833f0d3984f534fec5fa2bd
tests,tests/test_strategy_specs.py,3643,dce9a7e5f3c7ec51845c201cff63dd5293f9e00fc4297bc815f633c9bc2801f4
